INFO 2024-10-16 15:58:52,818 autoreload Watching for file changes with StatReloader
DEBUG 2024-10-16 15:58:52,822 autoreload Waiting for apps ready_event.
DEBUG 2024-10-16 15:58:54,315 autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2024-10-16 15:58:54,330 autoreload Watching dir C:\Users\jettg\Desktop\my_news_app_rest_api\renv\Lib\site-packages\django_extensions\templates with glob **/*.
DEBUG 2024-10-16 15:58:54,330 autoreload Watching dir C:\Users\jettg\Desktop\my_news_app_rest_api\renv\Lib\site-packages\drf_spectacular\templates with glob **/*.
DEBUG 2024-10-16 15:58:54,330 autoreload Watching dir C:\Users\jettg\Desktop\my_news_app_rest_api\renv\Lib\site-packages\rest_framework\templates with glob **/*.
DEBUG 2024-10-16 15:58:54,335 autoreload Watching dir C:\Users\jettg\Desktop\my_news_app_rest_api\core\locale with glob **/*.mo.
DEBUG 2024-10-16 15:58:54,335 autoreload Watching dir C:\Users\jettg\Desktop\my_news_app_rest_api\renv\Lib\site-packages\django_extensions\locale with glob **/*.mo.
DEBUG 2024-10-16 15:58:54,335 autoreload Watching dir C:\Users\jettg\Desktop\my_news_app_rest_api\renv\Lib\site-packages\rest_framework\locale with glob **/*.mo.
DEBUG 2024-10-16 15:58:54,335 autoreload Watching dir C:\Users\jettg\Desktop\my_news_app_rest_api\core\news\locale with glob **/*.mo.
DEBUG 2024-10-16 15:58:54,336 autoreload Watching dir C:\Users\jettg\Desktop\my_news_app_rest_api\renv\Lib\site-packages\rest_framework_simplejwt\locale with glob **/*.mo.
DEBUG 2024-10-16 15:58:54,336 autoreload Watching dir C:\Users\jettg\Desktop\my_news_app_rest_api\renv\Lib\site-packages\drf_spectacular\locale with glob **/*.mo.
DEBUG 2024-10-16 15:58:54,620 autoreload File C:\Users\jettg\Desktop\my_news_app_rest_api\renv\Lib\site-packages\pygments\lexer.py first seen with mtime 1727301353.803712
DEBUG 2024-10-16 15:58:54,621 autoreload File C:\Users\jettg\Desktop\my_news_app_rest_api\renv\Lib\site-packages\sqlparse\__init__.py first seen with mtime 1727298288.7063103
DEBUG 2024-10-16 15:58:54,621 autoreload File C:\Users\jettg\Desktop\my_news_app_rest_api\renv\Lib\site-packages\django\template\utils.py first seen with mtime 1727298294.6252573
DEBUG 2024-10-16 15:58:54,621 autoreload File C:\Users\jettg\Desktop\my_news_app_rest_api\renv\Lib\site-packages\yaml\_yaml.cp312-win_amd64.pyd first seen with mtime 1727300789.851665
DEBUG 2024-10-16 15:58:54,621 autoreload File C:\Users\jettg\Desktop\my_news_app_rest_api\renv\Lib\site-packages\django\views\generic\detail.py first seen with mtime 1727298294.7359345
DEBUG 2024-10-16 15:58:54,621 autoreload File C:\Users\jettg\Desktop\my_news_app_rest_api\renv\Lib\site-packages\django\utils\deprecation.py first seen with mtime 1727298294.6796105
DEBUG 2024-10-16 15:58:54,621 autoreload File C:\Users\jettg\Desktop\my_news_app_rest_api\core\manage.py first seen with mtime 1727298483.0699694
DEBUG 2024-10-16 15:58:54,621 autoreload File C:\Users\jettg\Desktop\my_news_app_rest_api\renv\Lib\site-packages\django\contrib\contenttypes\__init__.py first seen with mtime 1727298291.702781
DEBUG 2024-10-16 15:58:54,621 autoreload File C:\Users\jettg\Desktop\my_news_app_rest_api\renv\Lib\site-packages\django\db\models\sql\subqueries.py first seen with mtime 1727298294.486455
DEBUG 2024-10-16 15:58:54,621 autoreload File C:\Users\jettg\Desktop\my_news_app_rest_api\renv\Lib\site-packages\django\core\signing.py first seen with mtime 1727298294.2283978
DEBUG 2024-10-16 15:58:54,621 autoreload File C:\Users\jettg\Desktop\my_news_app_rest_api\renv\Lib\site-packages\sqlparse\filters\__init__.py first seen with mtime 1727298288.715705
DEBUG 2024-10-16 15:58:54,621 autoreload File C:\Users\jettg\Desktop\my_news_app_rest_api\renv\Lib\site-packages\charset_normalizer\md__mypyc.cp312-win_amd64.pyd first seen with mtime 1727300771.490889
DEBUG 2024-10-16 15:58:54,621 autoreload File C:\Users\jettg\Desktop\my_news_app_rest_api\renv\Lib\site-packages\django\core\checks\caches.py first seen with mtime 1727298294.2454557
DEBUG 2024-10-16 15:58:54,622 autoreload File C:\Users\jettg\Desktop\my_news_app_rest_api\renv\Lib\site-packages\django\utils\hashable.py first seen with mtime 1727298294.6851122
DEBUG 2024-10-16 15:58:54,622 autoreload File C:\Users\jettg\Desktop\my_news_app_rest_api\renv\Lib\site-packages\django\urls\conf.py first seen with mtime 1727298294.6583183
DEBUG 2024-10-16 15:58:54,622 autoreload File C:\Users\jettg\Desktop\my_news_app_rest_api\renv\Lib\site-packages\django\utils\duration.py first seen with mtime 1727298294.6806066
DEBUG 2024-10-16 15:58:54,622 autoreload File C:\Users\jettg\AppData\Local\Programs\Python\Python312\Lib\mimetypes.py first seen with mtime 1717692852.0
DEBUG 2024-10-16 15:58:54,622 autoreload File C:\Users\jettg\Desktop\my_news_app_rest_api\renv\Lib\site-packages\django\core\paginator.py first seen with mtime 1727298294.2264044
DEBUG 2024-10-16 15:58:54,622 autoreload File C:\Users\jettg\Desktop\my_news_app_rest_api\renv\Lib\site-packages\django\db\models\fields\related_descriptors.py first seen with mtime 1727298294.4669137
DEBUG 2024-10-16 15:58:54,622 autoreload File C:\Users\jettg\AppData\Local\Programs\Python\Python312\Lib\xml\dom\minidom.py first seen with mtime 1717692852.0
